Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,1.500000,1.710000,1.500000,1.520000,1.520000,11300
2007-05-02,1.530000,1.650000,1.500000,1.500000,1.500000,13100
2007-05-03,1.500000,1.720000,1.500000,1.550000,1.550000,16900
2007-05-04,1.500000,1.530000,1.480000,1.480000,1.480000,7500
2007-05-07,1.530000,1.550000,1.500000,1.550000,1.550000,13900
2007-05-08,1.700000,2.950000,1.700000,2.400000,2.400000,26100
2007-05-09,2.500000,2.800000,2.250000,2.400000,2.400000,7700
2007-05-10,2.250000,2.350000,2.080000,2.150000,2.150000,12200
2007-05-11,2.100000,2.400000,2.080000,2.100000,2.100000,15500
2007-05-14,2.090000,2.090000,2.050000,2.050000,2.050000,3000
2007-05-15,2.090000,2.150000,2.090000,2.150000,2.150000,2500
2007-05-16,2.300000,2.300000,2.150000,2.150000,2.150000,1100
2007-05-17,2.150000,2.150000,2.000000,2.000000,2.000000,11300
2007-05-18,2.100000,2.100000,2.000000,2.000000,2.000000,10100
2007-05-21,2.000000,2.050000,2.000000,2.050000,2.050000,3100
2007-05-22,2.000000,2.000000,2.000000,2.000000,2.000000,1400
2007-05-23,1.750000,2.050000,1.750000,2.050000,2.050000,3600
2007-05-24,1.950000,2.000000,1.950000,2.000000,2.000000,8200
2007-05-25,2.010000,2.190000,1.950000,2.190000,2.190000,4600
2007-05-29,2.000000,2.010000,2.000000,2.000000,2.000000,10000
2007-05-30,2.010000,2.010000,2.000000,2.000000,2.000000,5400
2007-05-31,2.000000,2.010000,2.000000,2.010000,2.010000,3500
2007-06-01,2.020000,2.020000,2.020000,2.020000,2.020000,1600
2007-06-04,2.030000,2.070000,2.030000,2.070000,2.070000,3800
2007-06-05,2.200000,2.240000,2.070000,2.070000,2.070000,8200
2007-06-06,2.100000,2.150000,2.100000,2.100000,2.100000,2800
2007-06-07,2.100000,2.100000,2.070000,2.070000,2.070000,4500
2007-06-08,2.070000,2.070000,2.070000,2.070000,2.070000,0
2007-06-11,2.100000,2.100000,2.000000,2.000000,2.000000,2600
2007-06-12,2.200000,2.200000,2.050000,2.150000,2.150000,2600
2007-06-13,2.000000,2.060000,2.000000,2.060000,2.060000,4000
2007-06-14,2.060000,2.060000,2.060000,2.060000,2.060000,0
2007-06-15,2.150000,2.200000,1.950000,1.950000,1.950000,15600
2007-06-18,2.000000,2.170000,2.000000,2.060000,2.060000,9300
2007-06-19,2.060000,2.060000,2.060000,2.060000,2.060000,0
2007-06-20,2.060000,2.060000,2.060000,2.060000,2.060000,0
2007-06-21,2.110000,2.110000,2.110000,2.110000,2.110000,1000
2007-06-22,2.200000,2.300000,2.160000,2.160000,2.160000,2000
2007-06-25,2.200000,2.200000,2.200000,2.200000,2.200000,500
2007-06-26,2.200000,2.950000,2.200000,2.600000,2.600000,21800
2007-06-27,2.610000,2.610000,2.610000,2.610000,2.610000,1000
2007-06-28,2.550000,2.550000,2.550000,2.550000,2.550000,1000
2007-06-29,2.550000,2.550000,2.550000,2.550000,2.550000,0
2007-07-02,2.550000,2.750000,2.550000,2.550000,2.550000,4300
2007-07-03,2.550000,2.550000,1.950000,1.950000,1.950000,5200
2007-07-05,2.300000,3.500000,2.300000,2.950000,2.950000,3900
2007-07-06,2.850000,2.950000,2.700000,2.700000,2.700000,6300
2007-07-09,2.640000,3.400000,2.640000,3.100000,3.100000,20400
2007-07-10,2.910000,3.320000,2.660000,2.690000,2.690000,4200
2007-07-11,3.100000,3.100000,2.750000,2.750000,2.750000,5400
2007-07-12,3.070000,3.070000,3.070000,3.070000,3.070000,1000
2007-07-13,3.070000,3.070000,3.060000,3.060000,3.060000,3000
2007-07-16,2.900000,3.000000,2.900000,2.900000,2.900000,3000
2007-07-17,2.900000,2.900000,2.850000,2.850000,2.850000,2200
2007-07-18,2.900000,2.900000,2.900000,2.900000,2.900000,1300
2007-07-19,2.900000,3.100000,2.900000,2.900000,2.900000,7800
2007-07-20,3.100000,3.100000,2.950000,3.100000,3.100000,11600
2007-07-23,3.100000,3.100000,2.950000,3.000000,3.000000,12800
2007-07-24,3.000000,3.000000,3.000000,3.000000,3.000000,1000
2007-07-25,3.000000,3.000000,2.900000,2.900000,2.900000,2900
2007-07-26,2.900000,3.000000,2.900000,2.900000,2.900000,5000
2007-07-27,2.750000,3.000000,2.750000,2.990000,2.990000,5000
2007-07-30,4.000000,4.000000,3.100000,3.100000,3.100000,17100
2007-07-31,3.050000,3.050000,3.000000,3.000000,3.000000,3700
2007-08-01,3.000000,3.000000,3.000000,3.000000,3.000000,2000
2007-08-02,3.000000,3.000000,2.750000,2.750000,2.750000,1200
2007-08-03,2.990000,3.020000,2.990000,3.020000,3.020000,5300
2007-08-06,3.100000,3.250000,2.850000,2.850000,2.850000,10300
2007-08-07,3.950000,3.950000,3.010000,3.300000,3.300000,3800
2007-08-08,3.200000,3.250000,3.000000,3.000000,3.000000,5200
2007-08-09,3.020000,3.020000,3.000000,3.020000,3.020000,2700
2007-08-10,3.000000,3.000000,2.860000,2.860000,2.860000,2000
2007-08-13,2.860000,2.860000,2.860000,2.860000,2.860000,1200
2007-08-14,3.000000,3.000000,2.750000,2.800000,2.800000,5200
2007-08-15,2.780000,2.780000,2.780000,2.780000,2.780000,100
2007-08-16,2.550000,3.000000,2.200000,2.300000,2.300000,6700
2007-08-17,2.600000,2.600000,2.600000,2.600000,2.600000,1700
2007-08-20,2.520000,2.700000,2.520000,2.700000,2.700000,1300
2007-08-21,2.700000,2.700000,2.700000,2.700000,2.700000,0
2007-08-22,3.000000,3.000000,3.000000,3.000000,3.000000,1000
2007-08-23,2.260000,2.400000,2.250000,2.400000,2.400000,7900
2007-08-24,2.450000,2.450000,2.450000,2.450000,2.450000,3800
2007-08-27,2.100000,2.400000,2.100000,2.400000,2.400000,9600
2007-08-28,2.400000,2.400000,2.300000,2.300000,2.300000,800
2007-08-29,2.000000,2.200000,1.970000,2.080000,2.080000,9800
2007-08-30,2.000000,2.080000,1.970000,1.970000,1.970000,13000
2007-08-31,2.250000,2.250000,2.000000,2.250000,2.250000,9000
2007-09-04,2.000000,2.200000,2.000000,2.110000,2.110000,6300
2007-09-05,2.120000,2.120000,2.050000,2.060000,2.060000,2700
2007-09-06,2.000000,2.250000,2.000000,2.050000,2.050000,4300
2007-09-07,2.100000,2.100000,1.950000,2.100000,2.100000,1600
2007-09-10,2.000000,2.010000,2.000000,2.000000,2.000000,14000
2007-09-11,1.960000,2.250000,1.960000,2.050000,2.050000,9000
2007-09-12,2.000000,2.010000,1.950000,1.960000,1.960000,6300
2007-09-13,2.200000,2.200000,2.200000,2.200000,2.200000,500
2007-09-14,2.000000,2.000000,1.960000,2.000000,2.000000,4900
2007-09-17,2.050000,2.050000,1.950000,1.950000,1.950000,4300
2007-09-18,1.950000,2.000000,1.950000,2.000000,2.000000,3100
2007-09-19,2.000000,2.150000,2.000000,2.150000,2.150000,6600
2007-09-20,2.190000,2.200000,2.190000,2.200000,2.200000,8400
2007-09-21,2.200000,2.400000,2.160000,2.160000,2.160000,7000
2007-09-24,2.450000,2.450000,2.160000,2.160000,2.160000,2400
2007-09-25,2.300000,2.450000,2.300000,2.300000,2.300000,1400
2007-09-26,2.450000,2.450000,2.150000,2.150000,2.150000,3000
2007-09-27,2.300000,2.450000,2.300000,2.450000,2.450000,12800
2007-09-28,2.450000,2.450000,2.150000,2.150000,2.150000,3400
2007-10-01,2.150000,2.500000,2.150000,2.500000,2.500000,16500
2007-10-02,2.500000,2.900000,2.500000,2.550000,2.550000,23700
2007-10-03,2.700000,2.700000,2.510000,2.510000,2.510000,13300
2007-10-04,2.600000,4.000000,2.550000,3.900000,3.900000,74100
2007-10-05,4.250000,4.500000,3.000000,3.750000,3.750000,98500
2007-10-08,3.700000,3.900000,3.260000,3.260000,3.260000,14300
2007-10-09,3.490000,3.490000,2.890000,3.050000,3.050000,9200
