Date,Open,High,Low,Close,Adj Close,Volume
2016-08-25,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-08-26,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-08-29,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-08-30,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-08-31,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-09-01,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-09-02,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-09-06,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-09-07,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-09-08,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-09-09,104.699997,104.699997,104.699997,104.699997,80.137512,0
2016-09-12,104.000000,104.000000,104.000000,104.000000,79.601746,5200
2016-09-13,104.000000,104.000000,104.000000,104.000000,80.806068,0
2016-09-14,104.000000,104.000000,104.000000,104.000000,80.806068,0
2016-09-15,104.000000,104.000000,104.000000,104.000000,80.806068,0
2016-09-16,104.000000,104.000000,104.000000,104.000000,80.806068,0
2016-09-19,104.000000,104.000000,104.000000,104.000000,80.806068,0
2016-09-20,104.000000,104.000000,104.000000,104.000000,80.806068,0
2016-09-21,104.000000,104.000000,104.000000,104.000000,80.806068,0
2016-09-22,104.050003,104.250000,104.050003,104.150002,80.922607,83100
2016-09-23,104.150002,104.150002,104.150002,104.150002,80.922607,0
2016-09-26,104.150002,104.150002,104.150002,104.150002,80.922607,0
2016-09-27,103.000000,103.000000,103.000000,103.000000,80.029076,200
2016-09-28,103.000000,103.000000,103.000000,103.000000,80.029076,5200
2016-09-29,103.000000,103.000000,103.000000,103.000000,80.029076,0
2016-09-30,103.000000,103.000000,103.000000,103.000000,80.029076,0
2016-10-03,103.000000,103.000000,103.000000,103.000000,80.029076,0
2016-10-04,103.000000,103.000000,103.000000,103.000000,80.029076,0
2016-10-05,103.000000,103.000000,103.000000,103.000000,80.029076,0
2016-10-06,104.750000,105.000000,104.750000,105.000000,81.583054,40000
2016-10-07,105.000000,105.000000,105.000000,105.000000,81.583054,0
2016-10-10,105.000000,105.000000,105.000000,105.000000,81.583054,0
2016-10-11,105.000000,105.000000,105.000000,105.000000,81.583054,0
2016-10-12,105.000000,105.000000,105.000000,105.000000,81.583054,0
2016-10-13,105.000000,105.000000,105.000000,105.000000,81.583054,0
2016-10-14,105.000000,105.000000,105.000000,105.000000,81.583054,0
2016-10-17,104.750000,105.250000,104.750000,105.250000,81.777290,9400
2016-10-18,105.250000,105.250000,105.250000,105.250000,81.777290,0
2016-10-19,105.250000,105.250000,105.250000,105.250000,81.777290,0
2016-10-20,105.250000,105.250000,105.250000,105.250000,81.777290,0
2016-10-21,103.000000,103.000000,103.000000,103.000000,80.029076,500
2016-10-24,103.000000,103.000000,103.000000,103.000000,80.029076,0
2016-10-25,103.000000,103.000000,103.000000,103.000000,80.029076,0
